commodity,latest_month,latest_recorded_price,one_month_period,one_month_forecast,one_month_direction,three_month_period,three_month_forecast,three_month_direction
Ampalaya,2026-06,138.37,2026-07,143.2,increase,2026-09,149.23,increase
Cabbage,2026-06,79.1,2026-07,96.38,increase,2026-09,116.99,increase
Carrots,2026-06,135.22,2026-07,136.84,increase,2026-09,151.25,increase
Eggplant,2026-06,96.77,2026-07,112.79,increase,2026-09,137.49,increase
Garlic,2026-06,331.43,2026-07,333.44,increase,2026-09,340.55,increase
Ginger,2026-06,179.69,2026-07,185.38,increase,2026-09,195.74,increase
Red Onion,2026-06,110.07,2026-07,124.24,increase,2026-09,156.88,increase
Squash,2026-06,66.76,2026-07,59.63,decrease,2026-09,55.07,decrease
Tomato,2026-06,72.32,2026-07,90.39,increase,2026-09,117.62,increase
White Onion,2026-06,103.65,2026-07,115.91,increase,2026-09,138.63,increase
White Potato,2026-06,120.02,2026-07,128.43,increase,2026-09,136.34,increase
